hotel_name,hotel_address,original,paraphrase,turker_selected_attributes
Doubletree Hotel Houston Downtown,"400 Dallas Street, Houston, TX 77002, United States","A restaurant serves a buffet breakfast and all-day Southern-style meals, plus a lobby bar offers wines by the glass and light meals.",Our Southern-style restaurant serves a buffet breakfast and all day long meals. The lobby features a bar and light meals. Close to all your needs including the Financial district and  METRORail or utilize our free downtown shuttle. Each room has modern decor and floor to ceiling widows. Sleep well in our custom designed beds. Book a suite and enjoy a parlor area and full kitchen. ,has_restaurant | has_bar_onsite
DoubleTree Suites by Hilton Hotel Anaheim Resort - Convention Center,"2085 S Harbor Blvd, Anaheim, California 92802, United States"," Upscale property with a rooftop pool A 4-minute drive from Interstate 5 and a block from Anaheim Convention Center, this upscale property is 0.7 miles from Disneyland® Park and Disney California Adventure® Park, and 9 minutes' drive from Amtrak station/Metrolink trains with downtown LA access.","Double Tree Suites is an upscale hotel which includes a rooftop pool. Its location is a 4 minute drive from I 5, a block form the Anaheim Convention Center and 0.7 miles from Disneyland Park and Disney California Adventure Park. It is only a 9 minute drive to Amtrak /Metrolink to visit downtown LA. ",has_convention_center | feels_upscale | has_swimming_pool_rooftop
DoubleTree Suites by Hilton Hotel Anaheim Resort - Convention Center,"2085 S Harbor Blvd, Anaheim, California 92802, United States","A 4-minute drive from Interstate 5 and a block from Anaheim Convention Center, this upscale property is 0.7 miles from Disneyland® Park and Disney California Adventure® Park, and 9 minutes' drive from Amtrak station/Metrolink trains with downtown LA access","DoubleTree Suites by Hilton Hotel Anaheim Resort - Convention Center is conveniently located, just a 4 minute drive from I-5 and only a block away from the Anaheim Convention Center.  Less than a mile from Disneyland Park and Disney California Adventure, this is an upscale property. Only a 9 minute drive from the Amtrak station and Metrolink trains with downtown LA access.An upscale hotel with easy access to downtown LA, DoubleTree Suites by Hilton Hotel Anaheim Resort - Convention Center is only a block from the Convention Center.  Disneyland Park and Disney California Adventure are within easy driving distance.",None
DoubleTree Suites by Hilton Hotel Anaheim Resort - Convention Center,"2085 S Harbor Blvd, Anaheim, California 92802, United States"," A 4-minute drive from Interstate 5 and a block from Anaheim Convention Center, this upscale property is 0.7 miles from Disneyland® Park and Disney California Adventure® Park, and 9 minutes' drive from Amtrak station/Metrolink trains with downtown LA access. ",This high-end hotel is only 0.7 miles away from Disneyland Park and Disney California Park.  I-5 is 4 minutes away.  The Amtrak station/Metrolink trains to downtown LA are only a 9 minute drive.,None
DoubleTree Suites by Hilton Hotel Austin,"303 W 15th St, Austin, TX 78701, USA",This downtown all-suite hotel is 6-minute walk from the Texas State Capitol and 1.2 miles from the Sixth Street Historic District.,The DoubleTree Suites by Hilton is located centrally in downtown Austin.  All the rooms are beautiful suites.  It is also just a 6-minute walk to the Texas State Capitol and only 1.2 miles from the popular Sixth Street Historic District.,is_room_type | is_historic | is_hotel_type
DoubleTree Suites by Hilton Hotel Austin,"303 W 15th St, Austin, TX 78701, USA","The sophisticated 1- and 2-bedroom suites come with fully equipped kitchens, separate living areas, flat-screen TVs and WiFi (fee).",This is a sophisticated hotel with 1 and 2 bedroom suites. Each has a full kitchen. They also include a separate living room with a flat screen TV. Wifi is available for a fee. ,feels_elegant | has_kitchen_in_room | feels_upscale | feels_chic
DoubleTree Suites by Hilton Hotel Austin,"303 W 15th St, Austin, TX 78701, USA","The sophisticated 1- and 2-bedroom suites come with fully equipped kitchens, separate living areas, flat-screen TVs and WiFi (fee).","You have a choice between 1- and 2- bedroom suites.  Suites include fully equipped kitchens, separate living areas and flat-screen TVs.  WiFi is available for an additional fee.",feels_elegant | has_kitchen_in_room | feels_upscale | feels_chic
Doubletree Suites by Hilton Hotel Santa Monica,"1707 4th St, Santa Monica, CA 90401, USA","All suites offer modern decor and custom-designed beds, plus living rooms, flat-screen TVs and free WiFi.","Modern suites, custom designed beds, living rooms, tvs, and free wifi. ",feels_contemporary | feels_modern
Doubletree Suites by Hilton Hotel Santa Monica,"1707 4th St, Santa Monica, CA 90401, USA","All-suite hotel 3 blocks from the beach A 1-minute drive from the Interstate 10 Freeway, this all-suite atrium-style hotel is 3 blocks from Santa Monica Beach and Pier, and an 8 minute walk from the trendy 3rd St Promenade shopping district. All suites offer modern decor and custom-designed beds, plus living rooms, flat-screen TVs and free WiFi. ",This is an all Suite hotel featuring nearby shopping and attractions as well as flat screen TVs and free WIFI.,has_wi_fi_free | is_room_type | has_swimming_pool_outdoor | has_fitness_room | is_hotel_type
Doubletree Suites by Hilton Hotel Santa Monica,"1707 4th St, Santa Monica, CA 90401, USA","A casual restaurant offers buffet breakfast and all-day a la carte menus, plus a cafe serves light food and Starbucks drinks. ","Buffet breakfast and all-day a la carte menus are available at the cozy restaurant. In addition, a cafe that offers light food and Starbucks drinks is also available.",feels_casual | has_restaurant | has_onsite_cafe
Dream South Beach,"1111 Collins Avenue, Miami Beach, Florida 33139, United States","Stylish art deco hotel featuring a rooftop pool, spa & Italian eatery, plus free WiFi throughout","This is an art-deco styled hotel.  It has a rooftop pool, a spa, and an Italian restaurant.  They also have free WiFi everywhere. ",has_spa | has_notable_decor | has_wi_fi_free | feels_chic | has_swimming_pool_rooftop
Dream South Beach,"1111 Collins Avenue, Miami Beach, Florida 33139, United States","Within 2 blocks of the beach, this chic, upscale boutique hotel with art deco influences is also .7 mile from Lincoln Road Mall and Flamingo Park Baseball Stadium, and 1.1 miles from the Miami Beach Convention Center.","This is a chic, upscale boutique hotel. It's decorated in the art deco style. The hotel is two blocks from the beach, and less than a mile from the Lincoln Road Mall and  Flamingo Park Baseball Stadium. It's about a mile from the Miami Beach convention Center.",None
Dream South Beach,"1111 Collins Avenue, Miami Beach, Florida 33139, United States","Stylish art deco hotel featuring a rooftop pool, spa & Italian eatery, plus free WiFi throughout.","This is a stylish, art deco hotel. The hotel has a rooftop pool, a spa, and an Italian eatery. Free wi-fi is available throughout the hotel.",has_spa | has_notable_decor | has_wi_fi_free | feels_chic | has_swimming_pool_rooftop
Drury Inn & Suites New Orleans,"820 Poydras St, New Orleans, LA 70112, USA","Modern lodging offering free breakfast & happy hour, plus an outdoor pool & hot tub.",The Drury Inn & Suites New Orleans is a modern hotel with free breakfast and happy hour.  The Inn also features an outdoor pool and hot tub.,None
Drury Inn & Suites New Orleans,"820 Poydras St, New Orleans, LA 70112, USA","The straightforward rooms feature free Wi-Fi, flat-screen TVs and kitchenettes. ","This hotel offers nice, straight forward rooms with a kitchenette for added convenience. The rooms offer free WiFi with a flat screen TV. ",has_wi_fi_free | has_kitchenette_in_rooms | is_straightforward
Drury Inn & Suites New Orleans,"820 Poydras St, New Orleans, LA 70112, USA","Modern lodging offering free breakfast & happy hour, plus an outdoor pool & hot tub. Refined hotel with an outdoor pool","Modern style rooms, with free breakfast and happy hour. This hotel also has a outdoor pool and hot tub. ",None
Dubai Marine Beach Resort & Spa,unknown,"Elegant rooms offer free Wi-Fi, flat-screen TVs and minibars. ","The rooms are elegant and include a flat screen TV, free wifi and a minibar.",has_wi_fi_free | feels_elegant | has_mini_bar_in_room
Dubai Marine Beach Resort & Spa,unknown,"Elegant rooms offer free Wi-Fi, flat-screen TVs and minibars. Upgraded rooms add balconies, while suites have living rooms and whirlpool tubs. Family rooms include sofabeds, while upgraded suites feature hot tubs.","All rooms offer free Wi-Fi, flat-screen TVs and family rooms include sofabeds, while upgraded suites have all included plus hot tubs. ",has_wi_fi_free | feels_elegant | has_mini_bar_in_room
Dubai Marine Beach Resort & Spa,unknown,"Elegant rooms & suites in a high-end modern hotel with beach access, plus 8 restaurants & a spa","This hotel is high-end, modern and elegant. It has beach access with an on-site spa. There are also 8 restaurants on the property. ",has_wi_fi_free | feels_elegant | has_mini_bar_in_room
Dubai Marriott Harbour Hotel & Suites,unknown," Offering free Wi-Fi, flat-screens and iPod docks, sophisticated 1- to 3-bedroom suites include kitchens, living/dining areas and marble bathrooms with soaking tubs","This hotel has suites with 1, 2, or 3 bedrooms.  The suites include kitchens, living and dining areas and marble bathrooms with soaking tubs.  Other features include free Wi-Fi, flat-screen TV's and iPod docks. ",feels_elegant | has_kitchen_in_room | feels_upscale | feels_chic | has_specialty_electronics_in_rooms | has_wi_fi_free | has_bathroom_marble_in_rooms | has_soaking_tubs_in_rooms
Dubai Marriott Harbour Hotel & Suites,unknown,"Sophisticated hotel offering suites with kitchens, plus a spa & fine dining with 360-degree views.",This sophisticated hotel has suites available with kitchens. It has a spa and fine dining options available as well. You can even dine with 360-degree views.,None
Dubai Marriott Harbour Hotel & Suites,unknown,"Additional amenities include a chic spa, a fitness centre and an outdoor pool, plus a hot tub.","You can relax at the Dubai Marriott Harbour Hotel & Suites with amenities like a spa, fitness center, outdoor pool, and a hot tub.",has_spa | has_swimming_pool_outdoor | feels_chic | has_hot_tub
easyHotel Amsterdam City Centre South,unknown,"Set in the vibrant De Pijp district, this budget hotel is less than a block from the nearest tram stop, a 14-minute walk from art exhibits at Rijksmuseum and 1.5 km from Amsterdam RAI Exhibition and Convention Center.",The hotel is set in the vibrant district of De Pijp. The hotel is also less than a block from the nearest tram stop. The exhibits at Rikjkmuseum are a short 14 minute walk away. The hotel is only 1.5km from Amsterdam RAI Exhibition and Convention Center.,has_convention_center | is_hotel_type
easyHotel Amsterdam City Centre South,unknown,"Set in the vibrant De Pijp district, this budget hotel is less than a block from the nearest tram stop, a 14-minute walk from art exhibits at Rijksmuseum and 1.5 km from Amsterdam RAI Exhibition and Convention Center",The hotel is near the tram stop. It is just a fourteen minute walk from art exhibits. It is also 1.5 km from RAI Convention Center.,has_convention_center | is_hotel_type
easyHotel Amsterdam City Centre South,unknown, Simple rooms with flat-screen TVs & Wi-Fi (fee) in a budget hotel offering a business center,This budget hotel features simple rooms that have flat screen TVs and you can use their Wi-Fi for an additional charge. There is a business center here also.,None
Elara by Hilton Grand Vacations,"80 E Harmon Ave, Las Vegas, NV 89109, USA","Upscale studio rooms feature floor-to-ceiling windows with panoramic city vistas, kitchenettes and whirlpool tubs, plus 42-inch flat-screen TVs and WiFi (surcharge).","The rooms here are like studios and have floor-to-ceiling windows that overlook the city. There are kitchenettes, whirlpool tubs, large flat-screen tvs, and you can pay for wifi.",has_whirlpool_tub | has_floor_to_ceiling_windows_in_rooms | feels_upscale | has_kitchenette_in_rooms
Elara by Hilton Grand Vacations,"80 E Harmon Ave, Las Vegas, NV 89109, USA","Upscale studio rooms feature floor-to-ceiling windows with panoramic city vistas, kitchenettes and whirlpool tubs, plus 42-inch flat-screen TVs and WiFi (surcharge).",The studio rooms at Elara are upscale with floor-to-ceiling windows.  They have panoramic views of the city.  The rooms have kitchenettes.  They also have whirlpool tubs and 42 inch flat-screen TVs. There is a surcharge for WiFi.,has_whirlpool_tub | has_floor_to_ceiling_windows_in_rooms | feels_upscale | has_kitchenette_in_rooms
Elara by Hilton Grand Vacations,"80 E Harmon Ave, Las Vegas, NV 89109, USA","High-rise hotel with upscale rooms offering panoramic views, plus a bar & seasonal outdoor pool.",This high-rise hotel offers classy rooms with panoramic view.  There is also a bar and a seasonal outdoor pool.,None
Electra Palace Athens,unknown," Classic Old Town property with a spa, fitness center & rooftop dining overlooking the Acropolis. Posh option with views of the Acropolis In the heart of Old Town, with views of the Acropolis of Athens and Parthenon (a kilometer away), this upscale hotel is 2.8 km from the National Archaeological Museum.  ","Old Town property that includes a rooftop dining lounge, spa and fitness center. There are several hot spots near the hotel as well.",has_spa | has_fitness_center | feels_traditional
Electra Palace Athens,unknown,"Posh option with views of the Acropolis In the heart of Old Town, with views of the Acropolis of Athens and Parthenon (a kilometer away), this upscale hotel is 2.8 km from the National Archaeological Museum","Electra Palace Athens is 2.8 km away from the National Archaeological Museum with views of the Acropolis, Parthenon, and other historical sites.",feels_upscale | swanky_lodging | feels_luxury
Electra Palace Athens,unknown,"Plush suites have added amenities like living areas, jetted tubs and private outdoor pools.",This hotel has living areas and jetted tubs in their plush suites. It also has private outdoor pools.,feels_upscale | swanky_lodging | has_swimming_pool_outdoor
Embassy Suites by Hilton Convention Center Las Vegas,"3600 Paradise Road, Las Vegas, NV 89169, United States","Featuring living rooms with pull-out sofas, the warm, relaxed suites include 37-inch flat screens, Nintendos and WiFi (paid).",All of the suites have living rooms with pull-out sofas.  They also have TV's with 37-inch flat screens and Nintendos for recreation.  You can also access WiFi for a fee.,feels_casual | has_sofa_bed | feels_relaxing | has_video_game_console_in_rooms
Embassy Suites by Hilton Convention Center Las Vegas,"3600 Paradise Road, Las Vegas, NV 89169, United States","Upscale, modern hotel with an indoor pool & casual dining, plus meeting space & free breakfast.",The hotel is upscale and modern. It has an indoor pool and a restaurant on-site. There is also a space for meetings and complimentary breakfast.,feels_contemporary | has_free_breakfast | feels_modern
Embassy Suites by Hilton Convention Center Las Vegas,"3600 Paradise Road, Las Vegas, NV 89169, United States","Featuring living rooms with pull-out sofas, the warm, relaxed suites include 37-inch flat screens, Nintendos and WiFi (paid).","In the living room, you can see the 37-inch flat screen TV from the pull-out sofa.  They also have Nintendos and paid Wifi.",feels_casual | has_sofa_bed | feels_relaxing | has_video_game_console_in_rooms
Embassy Suites by Hilton Fort Lauderdale 17th Street,"1100 SE 17th St, Fort Lauderdale, FL 33316, USA","Featuring dining tables, wet bars and living rooms with pull-out sofas, the warm, relaxed suites include 2 flat-screen TVs and WiFi (fee)","This hotel features dining tables, wet bars and living rooms with pull-out sofas. The atmosphere is warm and relaxed. Rooms include 2 flat-screen TVs and Wifi for a fee.",feels_casual | has_sofa_bed | feels_relaxing | has_bar_onsite | has_wet_bar_in_rooms
Embassy Suites by Hilton Fort Lauderdale 17th Street,"1100 SE 17th St, Fort Lauderdale, FL 33316, USA","Featuring dining tables, wet bars and living rooms with pull-out sofas, the warm, relaxed suites include 2 flat-screen TVs and WiFi (fee). ","The relaxed suites include 2 flat-screen TV's, WiFi (fee) and feature dining tables, wet bars as well as living rooms with pull-out sofas.",feels_casual | has_sofa_bed | feels_relaxing | has_bar_onsite | has_wet_bar_in_rooms
Embassy Suites by Hilton Fort Lauderdale 17th Street,"1100 SE 17th St, Fort Lauderdale, FL 33316, USA"," Featuring dining tables, wet bars and living rooms with pull-out sofas, the warm, relaxed suites include 2 flat-screen TVs and WiFi (fee). ","This hotel has suites consisting of wet bars, dining tables and pull out sofas. Also, the suite has 2 flat screen tvs and wifi is available with a fee. ",feels_casual | has_sofa_bed | feels_relaxing | has_bar_onsite | has_wet_bar_in_rooms
Embassy Suites by Hilton Los Angeles International Airport North,"9801 Airport Boulevard, Los Angeles, CA 90045, USA","Airport hotel featuring, a bistro & an indoor pool, plus free breakfast & evening receptions.","This hotel is near the airport. Plus they have a bistro, an indoor pool, and free food at breakfast and in the evening.",has_free_breakfast | is_hotel_type
Embassy Suites by Hilton Los Angeles International Airport North,"9801 Airport Boulevard, Los Angeles, CA 90045, USA",his modern all-suites hotel is 0.5 miles from Los Angeles International Airport and 4 miles from the beach.,The hotel is modern and all rooms are suite style. It is located only .5 mile from LAX and 4 miles from the beach.  ,None
Embassy Suites by Hilton Los Angeles International Airport North,"9801 Airport Boulevard, Los Angeles, CA 90045, USA","Contemporary suites feature balconies and living rooms with pull-out sofas, plus wet bars with coffeemakers, minifridges and microwaves.","This hotel has modern suites with balconies and living rooms. They're equipped with sofas, wet bars, coffeemakers, microwaves, and fridges.",feels_contemporary | has_coffee_in_rooms | has_wet_bar_in_rooms | has_microwave_in_rooms | has_balcony_in_rooms | has_bar_onsite | has_sofa_bed | feels_modern | has_minifridge_in_rooms
Embassy Suites by Hilton Miami International Airport,"3974 Northwest South River Drive, Miami, FL 33142, USA","This polished, all-suite hotel is 1.7 miles from Miami International Airport and 8.5 miles from Vizcaya Museum and Gardens.",All rooms in this hotel are suites and it is 1.7 miles from Miami International Airport and 8.5 miles from the Vizcaya Museum and Gardens. ,None
Embassy Suites by Hilton Miami International Airport,"3974 Northwest South River Drive, Miami, FL 33142, USA", Chic hotel with a garden atrium & dining,Embassy Suites by Hilton Miami International Airport is a chic hotel. There is a garden atrium and dining as well.,None
Embassy Suites by Hilton Miami International Airport,"3974 Northwest South River Drive, Miami, FL 33142, USA","Functional suites include separate living rooms with pull-out sofas, kitchenettes, coffeemakers and flat-screen TVs, as well as high-speed Internet.","This hotel has functional suites with a separate living room. It includes flat-screen TVs and high-speed internet, as well as pull-out sofas, kitchenettes, and coffeemakers.",None
Embassy Suites by Hilton New Orleans Convention Center,"315 Julia St, New Orleans, LA 70130, USA","The hotel is downtown, close to The Convention Center and Julia Station.  It has an open air atrium.","The hotel is downtown, close to The Convention Center and Julia Station.  It has an open air atrium.",None
Embassy Suites by Hilton New Orleans Convention Center,"315 Julia St, New Orleans, LA 70130, USA","Modern rooms come with microwaves, minifridges and coffeemakers, plus flat-screen TVs and free WiFi.","Embassy Suites by Hilton New Orleans has some of the comforts of home away from home. Their rooms include microwaves, minifridges, coffeemakers, flat-screen TVs, and free WiFi.",None
Embassy Suites by Hilton New Orleans Convention Center,"315 Julia St, New Orleans, LA 70130, USA",This downtown hotel with an open air atrium is 5 minutes' walk from both the New Orleans Ernest N. Morial Convention Center and the Julia Station streetcar stop.,"This downtown hotel is within five minutes walking distance from several key locations. For example, it takes that long to get to New Orleans N. Morial Convention Center and the Julia Station streetcar stop. ",None
Embassy Suites by Hilton Orlando International Drive Convention Center,"8978 International Dr, Orlando, FL 32819, USA",This upscale all-suite hotel with an 8-story atrium is 1.3 miles from the Orange County Convention Center and 8.5 miles from Walt Disney World® Resort,The hotel has just upscale suites with an 8 story atrium. It is just over a mile to the Orange County Convention center and only 8.5 miles from Walt Disney World. ,is_room_type | has_convention_center | feels_upscale | is_hotel_type
Embassy Suites by Hilton Orlando International Drive Convention Center,"8978 International Dr, Orlando, FL 32819, USA","The modern suites include living rooms with pull-out sofas, microwaves, minifridges and coffeemakers, plus 2 flat-screen TVs with premium channels, WiFi (fee) and dining tables. ","Every suite has a separate living room with a pull-out sofa.  A kitchenette with a microwave, mini-refrigerator, ice maker, coffeemaker, and dining table.  There is a flat screen TV in both rooms with premium channels and Wi-Fi is provided free of charge.",feels_contemporary | feels_upscale | has_coffee_in_rooms | has_microwave_in_rooms | has_sofa_bed | feels_modern | swanky_lodging | has_minifridge_in_rooms
Embassy Suites by Hilton Orlando International Drive Convention Center,"8978 International Dr, Orlando, FL 32819, USA","The modern suites include living rooms with pull-out sofas, microwaves, minifridges and coffeemakers, plus 2 flat-screen TVs with premium channels, WiFi (fee) and dining tables. ","Each suite has a living room with a pull out sofa and 2 flat screen TVs with premium channels.  There are also dining tables, microwaves, coffee makers and a mini-fridge.  Wifi is also free.",feels_contemporary | feels_upscale | has_coffee_in_rooms | has_microwave_in_rooms | has_sofa_bed | feels_modern | swanky_lodging | has_minifridge_in_rooms
Embassy Suites by Hilton Waikiki Beach Walk,"201 Beach Walk, Honolulu, HI 96815, USA","Relaxed all-suite lodging offering free hot breakfast & WiFi, plus an outdoor pool with a sundeck.",This hotel as relaxed all-suite lodging. It offers free hot breakfast and WiFi. There also is an outdoor pool with a sundeck.,None
Embassy Suites by Hilton Waikiki Beach Walk,"201 Beach Walk, Honolulu, HI 96815, USA","Relaxed all-suite lodging offering free hot breakfast & WiFi, plus an outdoor pool with a sundeck.",This is an all-suite hotel. It offers free hot breakfast and Wi-Fi. The hotel also has an outdoor pool with a sundeck.,None
Embassy Suites by Hilton Waikiki Beach Walk,"201 Beach Walk, Honolulu, HI 96815, USA",An all-suite hotel with an outdoor pool,Enjoy your home away from home as every room is its own suite and has access to our relaxing tropical pool. ,None
Embassy Suites Chicago Downtown Magnificent Mile,"511 N Columbus Dr, Chicago, IL 60611, USA",This all-suite hotel featuring a 17-story atrium is a 15-minute walk from the art and activities of Millennium Park and a 2-mile drive from Willis Tower.,"This hotel has all suites and a 17-story atrium. Millennium Park is only a 15-minute walk, and Willis Tower is only a 2-mile drive.",None
Embassy Suites Chicago Downtown Magnificent Mile,"511 N Columbus Dr, Chicago, IL 60611, USA","The upscale suites include separate living rooms with pull-out sofas, microwaves, minifridges and coffeemakers, plus 2 flat-screen TVs with premium cable channels and WiFi (fee). ","The hotel upscale suites have separate living rooms with pull-out sofas, microwaves, minifridges and coffeemakers. They even have 2 flat-screen TVs with premium cable channels and WiFi for a fee. ",None
Embassy Suites Chicago Downtown Magnificent Mile,"511 N Columbus Dr, Chicago, IL 60611, USA","Upscale hotel featuring free cooked-to-order breakfast, a fitness center & an indoor pool. ",This is an upscale hotel.  You can have free cooked to order breakfast.  It also has a fitness center and an indoor pool.  ,None
Embassy Suites Philadelphia - Center City,"1776 Benjamin Franklin Pkwy, Philadelphia, PA 19103, USA"," The straightforward suites offer separate living rooms with pull-out sofas and kitchenettes, plus 2 flat-screen TVs, WiFi (fee) and balconies.","The suites offer a separate living room, pull-out sofas, kitchenettes, flat screen TVs, balconies, and Wifi for a fee. ",has_sofa_bed | has_balcony_in_rooms | has_kitchenette_in_rooms | is_straightforward
Embassy Suites Philadelphia - Center City,"1776 Benjamin Franklin Pkwy, Philadelphia, PA 19103, USA","Straightforward suites with balconies & kitchenettes, plus an exercise room & free breakfast",The Embassy Suites hotel is located in the Center of Philadelphia.  This all-suite hotel features living rooms with pullout sofas to accommodate the entire family and balconies to take in the view and local sights.  Get your day off to a great start with a free breakfast or workout at the hotel exercise facility.,has_free_breakfast
Embassy Suites Philadelphia - Center City,"1776 Benjamin Franklin Pkwy, Philadelphia, PA 19103, USA","The straightforward suites offer separate living rooms with pull-out sofas and kitchenettes, plus 2 flat-screen TVs, WiFi (fee) and balconies","The rooms at the Embassy Suites Philadelphia are straightforward suites. They offer separate living rooms with pull-out sofas and kitchenettes. The rooms also come with 2 flat-screen TVs, WiFi (fee) and balconies.",has_sofa_bed | has_balcony_in_rooms | has_kitchenette_in_rooms | is_straightforward
Encore,"3131 South Las Vegas Boulevard, Las Vegas, NV 89109, USA","Posh suites with floor-to-ceiling windows and Strip, Downtown or pool views offer luxe bedding, flat-screens, and grand bathrooms with soaking tubs and TVs;","This posh hotel features suites with floor to ceiling windows. You can choose from strip, downtown or pool views. Luxe bedding, flat-screens and grand bathrooms with soaking tubs and TVs are some of the highlights.",has_soaking_tubs_in_rooms | feels_upscale | has_resort_fees | swanky_lodging | feels_luxury
Encore,"3131 South Las Vegas Boulevard, Las Vegas, NV 89109, USA"," Posh suites with floor-to-ceiling windows and Strip, Downtown or pool views offer luxe bedding, flat-screens, and grand bathrooms with soaking tubs and TVs; resort fees apply.","The Encore has posh suites with floor to ceiling windows.  Encore has Strip, Downtown and pool views.  They offer luxe bedding, flat screens, and grand bathrooms with soaking tubs.  Resort fees apply.",has_soaking_tubs_in_rooms | feels_upscale | has_resort_fees | swanky_lodging | feels_luxury
Encore,"3131 South Las Vegas Boulevard, Las Vegas, NV 89109, USA","Posh all-suite hotel with Strip views Overlooking the Strip, this glam hotel is part of a sprawling casino resort complex.",The Encore is a fancy hotel within a casino and has views overlooking the strip.,has_casino | swanky_lodging | is_hotel_type
Estrela Do Mar Beach Resort,unknown,Room service is available 24/7.,Room service is available at any time to insure you are always offered meals on your terms - regardless of the time of day.,None
Estrela Do Mar Beach Resort,unknown,"The bright, cozy rooms and cottages feature flat-screen TVs, free Wi-Fi and minibars, as well as tea and coffeemaking facilities.","The hotel has quaint rooms and cottages with flat-screen TVs, free Wi-Fi and minibars. They also have tea and coffeemakers. ",None
Estrela Do Mar Beach Resort,unknown,Swiss chalet-style cottages offer garden views and some include sunloungers and bars.,This hotel has Swiss chalet-style cottages.  These cottages jave a garden view with some offer sunloungers and bars.,None
Europa Hotel,unknown,"Situated opposite the Grand Opera House, this contemporary hotel is a 3-minute walk from Great Victoria Street train station and a 12-minute walk from Victoria Square Shopping Centre.",This is a contemporary hotel in a good location. It is only a 3-minute walk to the Great Victoria Street train station. It is also close to the Victoria Shopping Centre at a 12-minute walk.,None
Europa Hotel,unknown,"The sophisticated rooms and suites feature free WiFi, flat-screen TVs, iPod docks, as well as tea and coffeemaking equipment.","Rooms and suites feature free wifi, flat screen TVs, ipod charging docks, and tea and coffee making stations.",feels_elegant | feels_upscale | feels_chic | has_specialty_electronics_in_rooms | is_room_type | has_wi_fi_free | has_coffee_in_rooms
Europa Hotel,unknown," Refined lodging with a piano lounge Situated opposite the Grand Opera House, this contemporary hotel is a 3-minute walk from Great Victoria Street train station and a 12-minute walk from Victoria Square Shopping Centre.","There is a piano lounge in this hotel, which is right across from the Grand Opera House. It's really close to the Great Victoria Street train station and also not far from the Victoria Square shopping center. ",feels_elegant | feels_upscale
Excalibur Hotel & Casino,"3850 S Las Vegas Blvd, Las Vegas, NV 89109, USA","Camelot-themed resort with standard rooms, gaming, a spa, a medieval-joust dinner show & 4 pools.","The hotel has a Camelot theme. The rooms are standard. The hotel facilities include: gaming, a spa, and 4 swimming pools. There is a medieval joust show at dinner.",has_spa | has_notable_decor | is_hotel_type
Excalibur Hotel & Casino,"3850 S Las Vegas Blvd, Las Vegas, NV 89109, USA","Camelot-themed resort with standard rooms, gaming, a spa, a medieval-joust dinner show & 4 pools.","You'll find a multitude of amenities and entertainment at this Camelot-themed resort. In addition to standard rooms you can relax with a spa and 4 pools. For entertainment there is gaming, and a medieval joust dinner show.",has_spa | has_notable_decor | is_hotel_type
Excalibur Hotel & Casino,"3850 S Las Vegas Blvd, Las Vegas, NV 89109, USA","Classic, Camelot-themed casino resort On the south end of the Strip, this Camelot-themed resort is linked to neighboring New York-New York and Tropicana resorts by overhead pedestrian bridges.",This classic Camelot-themed casino resort is linked to neighboring New York-New York and Tropicana resorts by overhead pedestrian bridges on the south end of the strip.,has_casino | feels_traditional
Excelsior Hotel Ernst Köln,unknown,"Grand townhouse offering elegant rooms with 24-hour room service, plus a restaurant & a spa.","Excelsior Hotel offers very elegant rooms, and you'll have access to 24-hour room service. The hotel also features a restaurant and a spa.",feels_elegant | feels_upscale | has_room_service
Excelsior Hotel Ernst Köln,unknown,"Grand townhouse offering elegant rooms with 24-hour room service, plus a restaurant & a spa.",They offer elegant rooms and have a spa. They also have a restaurant and 24-hour room service. ,feels_elegant | feels_upscale | has_room_service
Excelsior Hotel Ernst Köln,unknown,"Opposite Cologne Cathedral, this upscale hotel set in a grand 5-story townhouse. It's a 6-minute walk from Cologne train station, and 15 km from Cologne Bonn Airport. Complimentary parking is provided, and an airport shuttle service is available for a fee. amenities include a restaurant, a bar, and a spa with a fitness center. ","Excelsior Hotel Ernst Koln is an upscale hotel set in a grand, 5-story townhouse and located opposite Cologne Cathedral. It is a 6 minute walk from the Cologne train station and 15 km from Cologne Bonn Airport. Parking is complimentary and airport shuttle service is available for a fee. Amenities include a restaurant, bar, fitness center, spa, and 24 hour room service.",feels_upscale
Expo Hotel Barcelona,unknown,"Contemporary option with modest rooms & free Wi-Fi, plus a rooftop pool & a restaurant/bar.",The Expo Hotel Barcelona is a contemporary hotel with modest rooms.  The rooms have free Wi-Fi. The hotel also has a rooftop pool and a combination restaurant and bar.,feels_contemporary | has_swimming_pool_rooftop | has_wi_fi_free | feels_modest | has_restaurant | has_bar_onsite | feels_modern
Expo Hotel Barcelona,unknown,"This modern, urban hotel is a 3-minute walk from Tarragona metro station and 4 km from Picasso Museum. Contemporary option with modest rooms & free Wi-Fi, plus a rooftop pool & a restaurant/bar. ","The Expo Hotel Barcelona is a contemporary, modern hotel in an urban setting. It is a modest 3 minute walk from Tarragon metro station and 4km form Picasso museum. The Expo offers modest rooms with free Wi-fi, a restaurant/bar and a rooftop pool. ",feels_contemporary | feels_modern
Expo Hotel Barcelona,unknown,"Contemporary option with modest rooms & free Wi-Fi, plus a rooftop pool & a restaurant/bar.",This is a contemporary hotel with modest rooms. It has a rooftop pool and a restaurant/bar. It also offers free Wi-Fi.,feels_contemporary | has_swimming_pool_rooftop | has_wi_fi_free | feels_modest | has_restaurant | has_bar_onsite | feels_modern
